Annee;Diplôme;Numéro de l'établissement;Établissement;Code de l'académie;Académie;Code du domaine;Domaine;Code de la discipline;Discipline;situation;Remarque;Nombre de réponses;Taux de réponse;Poids de la discipline;Taux d’insertion;% emplois cadre ou professions intermédiaires;% emplois stables;% emplois à temps plein;Salaire net médian des emplois à temps plein;Salaire brut annuel estimé;% de diplômés boursiers;Taux de chômage régional;Salaire net mensuel médian régional;% emplois cadre;% emplois extérieurs à la région de l’université;% femmes;Salaire net mensuel régional 1er quartile;Salaire net mensuel régional 3ème quartile;cle_ETAB;cle_DISC
2013;LICENCE PRO;0595964M;Littoral - Côte d'Opale;A09;Lille;DEG;Droit, économie et gestion;disc04;Gestion;30 mois après le diplôme;;48;65;24;85;29;73;95;1380;21500;28.00;12.4;1820;2;2;77;1480;2120;Littoral - Côte d'Opale_30;disc04_30
2013;LICENCE PRO;0595964M;Littoral - Côte d'Opale;A09;Lille;STS;Sciences, technologies et santé;disc12;Ensemble sciences, technologies et santé;30 mois après le diplôme;;60;65;31;87;79;85;94;1600;25000;28.00;12.4;1820;5;27;21;1480;2120;Littoral - Côte d'Opale_30;disc12_30
2013;LICENCE PRO;0595964M;Littoral - Côte d'Opale;A09;Lille;STS;Sciences, technologies et santé;disc15;Sciences de l'ingénieur;30 mois après le diplôme;;48;68;25;90;77;84;95;1580;24700;28.00;12.4;1820;4;28;24;1480;2120;Littoral - Côte d'Opale_30;disc15_30
2013;LICENCE PRO;0623957P;Artois;A09;Lille;DEG;Droit, économie et gestion;disc04;Gestion;18 mois après le diplôme;;69;72;24;94;47;75;91;1400;21800;27.00;12.4;1820;6;17;52;1480;2120;Artois_18;disc04_18
2013;LICENCE PRO;0623957P;Artois;A09;Lille;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;30 mois après le diplôme;;14;84;4;ns;ns;ns;ns;ns;ns;27.00;12.4;1820;ns;ns;ns;1480;2120;Artois_30;disc07_30
2013;LICENCE PRO;0623957P;Artois;A09;Lille;STS;Sciences, technologies et santé;disc13;Sciences de la vie et de la terre;18 mois après le diplôme;;19;86;6;ns;ns;ns;ns;ns;ns;27.00;12.4;1820;ns;ns;ns;1480;2120;Artois_18;disc13_18
2013;LICENCE PRO;0623957P;Artois;A09;Lille;STS;Sciences, technologies et santé;disc15;Sciences de l'ingénieur;18 mois après le diplôme;;140;82;44;87;89;73;98;1500;23400;27.00;12.4;1820;8;31;16;1480;2120;Artois_18;disc15_18
2013;LICENCE PRO;0631262E;Clermont-Ferrand 1 - Auvergne;A06;Clermont-Ferrand;DEG;Droit, économie et gestion;disc04;Gestion;30 mois après le diplôme;;162;73;48;93;42;77;97;1430;22300;25.00;8.9;1780;4;28;74;1440;2070;Clermont-Ferrand 1 - Auvergne_30;disc04_30
2013;LICENCE PRO;0631262E;Clermont-Ferrand 1 - Auvergne;A06;Clermont-Ferrand;STS;Sciences, technologies et santé;disc12;Ensemble sciences, technologies et santé;18 mois après le diplôme;;190;89;46;91;95;67;97;1520;23700;25.00;8.9;1780;6;28;34;1440;2070;Clermont-Ferrand 1 - Auvergne_18;disc12_18
2013;LICENCE PRO;0631262E;Clermont-Ferrand 1 - Auvergne;A06;Clermont-Ferrand;STS;Sciences, technologies et santé;disc12;Ensemble sciences, technologies et santé;30 mois après le diplôme;;190;89;46;93;90;80;98;1600;25000;25.00;8.9;1780;8;28;34;1440;2070;Clermont-Ferrand 1 - Auvergne_30;disc12_30
2013;LICENCE PRO;0631262E;Clermont-Ferrand 1 - Auvergne;A06;Clermont-Ferrand;STS;Sciences, technologies et santé;disc13;Sciences de la vie et de la terre;30 mois après le diplôme;;51;92;12;92;96;55;96;1410;21900;25.00;8.9;1780;17;43;74;1440;2070;Clermont-Ferrand 1 - Auvergne_30;disc13_30
2013;LICENCE PRO;0631262E;Clermont-Ferrand 1 - Auvergne;A06;Clermont-Ferrand;STS;Sciences, technologies et santé;disc15;Sciences de l'ingénieur;30 mois après le diplôme;;66;82;17;95;88;89;98;1730;27000;25.00;8.9;1780;1;19;19;1440;2070;Clermont-Ferrand 1 - Auvergne_30;disc15_30
2013;LICENCE PRO;0631262E;Clermont-Ferrand 1 - Auvergne;A06;Clermont-Ferrand;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;30 mois après le diplôme;;7;100;2;ns;ns;ns;ns;ns;ns;25.00;8.9;1780;ns;ns;ns;1440;2070;Clermont-Ferrand 1 - Auvergne_30;disc17_30
2013;LICENCE PRO;0631525R;Clermont-Ferrand 2 - Blaise Pascal;A06;Clermont-Ferrand;DEG;Droit, économie et gestion;disc04;Gestion;30 mois après le diplôme;;7;58;4;ns;ns;ns;ns;ns;ns;26.00;8.9;1780;ns;ns;ns;1440;2070;Clermont-Ferrand 2 - Blaise Pascal_30;disc04_30
2013;LICENCE PRO;0631525R;Clermont-Ferrand 2 - Blaise Pascal;A06;Clermont-Ferrand;STS;Sciences, technologies et santé;disc12;Ensemble sciences, technologies et santé;30 mois après le diplôme;;202;82;76;91;81;74;97;1560;24300;26.00;8.9;1780;8;42;32;1440;2070;Clermont-Ferrand 2 - Blaise Pascal_30;disc12_30
2013;LICENCE PRO;0640251A;Pau - Pays de l'Adour;A04;Bordeaux;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;18 mois après le diplôme;;36;82;13;97;ns;35;91;ns;ns;16.00;9.6;1760;ns;13;52;1400;2100;Pau - Pays de l'Adour_18;disc07_18
2013;LICENCE PRO;0640251A;Pau - Pays de l'Adour;A04;Bordeaux;SHS;Sciences humaines et sociales;disc10;Information communication;18 mois après le diplôme;;13;81;5;ns;ns;ns;ns;ns;ns;16.00;9.6;1760;ns;ns;ns;1400;2100;Pau - Pays de l'Adour_18;disc10_18
2013;LICENCE PRO;0640251A;Pau - Pays de l'Adour;A04;Bordeaux;STS;Sciences, technologies et santé;disc12;Ensemble sciences, technologies et santé;30 mois après le diplôme;;154;93;49;95;86;81;99;1580;24700;16.00;9.6;1760;12;43;20;1400;2100;Pau - Pays de l'Adour_30;disc12_30
