Annee;Diplôme;Numéro de l'établissement;Etablissement;Code de l'académie;Académie;Code du domaine;Domaine;Code de la discipline;Discipline;situation;Taux d'insertion;% emplois stables;% emplois à  temps plein;Salaire brut annuel estimé;% de diplômés boursiers;% emplois cadre;% emplois extérieurs à  la région de l'université;% femmes;cle_ETAB;cle_DISC
2013;MASTER LMD;0593560Z;Lille 2 - Droit et santé;A09;Lille;STS;Sciences, technologies et santé;disc12;Ensemble sciences, technologies et santé;18 mois après le diplôme;94;69;94;28000;23.00;36;29;61;Lille 2 - Droit et santé_18;disc12_18
2013;MASTER LMD;0593560Z;Lille 2 - Droit et santé;A09;Lille;STS;Sciences, technologies et santé;disc12;Ensemble sciences, technologies et santé;30 mois après le diplôme;92;83;95;29300;23.00;36;29;61;Lille 2 - Droit et santé_30;disc12_30
2011;MASTER LMD;0593560Z;Lille 2 - Droit et santé;A09;Lille;STS;Sciences, technologies et santé;disc12;Ensemble sciences, technologies et santé;30 mois après le diplôme;94;79;95;31200;35.00;36;29;70;Lille 2 - Droit et santé_30;disc12_30
2012;MASTER LMD;0342321N;Montpellier;A11;Montpellier;DEG;Droit, économie et gestion;disc05;Autres formations juridiques, économiques et de gestion;30 mois après le diplôme;86;83;97;32000;36.00;36;29;52;Montpellier_30;disc05_30
2012;MASTER LMD;0342321N;Montpellier;A11;Montpellier;DEG;Droit, économie et gestion;disc05;Autres formations juridiques, économiques et de gestion;18 mois après le diplôme;86;76;99;30400;36.00;36;29;52;Montpellier_18;disc05_18
2014;MASTER LMD;0440984F;Nantes;A17;Nantes;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;30 mois après le diplôme;90;52;82;25000;29.00;36;29;78;Nantes_30;disc07_30
2014;MASTER LMD;0440984F;Nantes;A17;Nantes;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;18 mois après le diplôme;74;40;77;23400;29.00;36;29;78;Nantes_18;disc07_18
2013;MASTER LMD;0941111X;Paris-Est Créteil;A24;Créteil;DEG;Droit, économie et gestion;disc05;Autres formations juridiques, économiques et de gestion;18 mois après le diplôme;56;26;86;ns;24.00;36;29;65;Paris-Est Créteil_18;disc05_18
2013;MASTER LMD;0941111X;Paris-Est Créteil;A24;Créteil;DEG;Droit, économie et gestion;disc05;Autres formations juridiques, économiques et de gestion;30 mois après le diplôme;82;71;97;28700;24.00;36;29;65;Paris-Est Créteil_30;disc05_30
2011;MASTER LMD;0941111X;Paris-Est Créteil;A24;Créteil;DEG;Droit, économie et gestion;disc05;Autres formations juridiques, économiques et de gestion;30 mois après le diplôme;82;74;94;29600;22.00;36;29;73;Paris-Est Créteil_30;disc05_30
2011;MASTER LMD;0772502B;Paris-Est Marne-la-Vallée;A24;Créteil;STS;Sciences, technologies et santé;disc15;Sciences de l'ingénieur;30 mois après le diplôme;87;90;100;35600;18.00;35;29;44;Paris-Est Marne-la-Vallée_30;disc15_30
